name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,grpradeg,grpdedeg,logmh_e17,logmhdynh_e17,grp_e17,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b,tf_type,nndist_kd,tf_confidence
rf0503,0.02,0.558483,0.03,0.01,0.35,0.06,13.52,0.11,13.38,19.38,0.04,-0.62866731,0.03,0.31,0.51,0.15,358.09449,0.08,0.42,14.53,2.38,16.7,14.79,16.08,0.843153,2.09426,0.07,13.83,15.7,0.93,0.27,10,0.05,0.07,3.3361,4.19145,2.08499,1.80032,9.57,-99,6936.1,-99,0.02,-18.98,2.94961,15.51,0.28,0.04,0.07,6936.1,0.04,0.08,0.02,13.65,17.96,1,1.23767E+18,0.673594,3.7382,4.34623E+17,0.9281,0.35715,0.50065,0.30847,1,0,1.8565,11.9648,5.87731E+17,0.960171,1.08872E+17,0.8713,4.34623E+17,0.9402,1.23767E+18,0,9.67,35.7693,0.24899688,9.90271759,8.3347,0.24899688,9.47,-99,-99,notineco,-99,-2.5,E,154372000,0,0,0,0,0.0345344,0,0.0357,0,0,1,0,GBT,0,0,0,0,1,0,-18.9836,0,0,11.3529,1,11.2119,1,0,1,9.6045,372,9.5905,0,0,0,0.0765509,0.076197,9.59,1,0,0,1,0,0,1000000,1.80416,1.69249,2.85487,2.60803,-19.2296,3.65873,0.418344,1.46905,0.641783,20.1903,0.2421,0.7613,0,9.595,358.095,-0.6288,11.2,10.8,372,11.82,1,11.68,11.18,20231,2.54,11.82,0,1.59,1,10217,11.37,11.68,0,0,0.756438818,0
rf0504,0.02,0.682951,0.03,0.01,-99,0.06,-99,0.11,13.85,21.28,0.04,-0.098670617,0.03,-99,0.07,0.14,358.46884,0.08,0.17,14.45,3.22,17.03,15.08,16.31,1.00526,2.28119,-0.01,13.82,15.97,0.77,0.26,7.68,0.26,0.02,3.72762,4.59218,2.4517,2.12939,9.55,-99,6757.4,-99,0.02,-18.69,3.14574,15.69,0.26,0.03,0.03,6757.4,0.17,0.07,0.02,-99,18.64,1,1.23766E+18,0.696148,8.6794,4.3464E+17,0.7366,0.2594,0.29375,0.20361,1,0,8.9987,8.9987,5.87731E+17,0.804286,1.08872E+17,0.6413,4.3464E+17,0.7387,1.23766E+18,39.5344,9.63,0,0.032624933,9.20012283,8.13529,0.032624933,9.47,-99,-99,notineco,-99,-2.5,E,97536100,0,0,0,0,0.0183141,0,0.0186,0,0,1,0,AO,0,0,0,0,1,0,-18.6861,0,0,11.3399,1,11.1479,1,0,1,9.5715,377,9.5565,0,0,0,0.0274606,0.107902,9.55,1,0,?,0,10000,0,0,2.09967,2.23659,3.45705,2.93004,-18.8543,4.28742,0.595417,1.9528,0.879204,21.9935,0.2268,0.793,0,9.575,358.469,-0.0987,11.14,11.11,377,11.64,1,11.65,11.16,20234,2.75,11.64,0,2.86,1,10220,11.36,11.65,0,0,0.855574777,0
rf0505,0.02,0.412497,0.03,0.01,0.25,0.07,15.5,0.12,-99,20.1,0.05,-0.046906637,0.16,0.55,-99,0.16,358.63499,0.09,-99,-99,2.14,18.22,-99,17.74,0.659828,1.95204,0.15,-99,17.48,0.9,0.29,5.53,-99,0.04,2.93279,3.83893,1.64058,1.39325,8.53,-99,6853.2,-99,0.03,-17.3,2.85817,17.27,0.3,0.04,0.05,6853.2,0.05,-99,0.02,15.39,19.22,1,1.23766E+18,0.691511,4.0821,4.3463E+17,0.8523,0.15656,0.29792,0.036128,1,0,4.1368,4.1368,5.87731E+17,0.891309,1.08872E+17,0.7148,4.3463E+17,0.9414,1.23766E+18,0,8.73,0,0.26284706,8.59616756,8.42508,0.28156885,8.43,-99,-99,notineco,-99,-2.5,E,190086000,0.317341,0,0,78.5469,0.00535448,12.0373,0.0123,4.93938,0,0,0,AO,18669100,0,110.665,0.835181,1,0,-17.2979,0,0,10.9279,1,10.8899,1,0,1,8.7865,378,8.5445,0,0,0,1.06613,1.06612,8.53,1,?,1,0,10000,0,0,1.25127,0.902357,1.92015,1.9857,-17.9641,2.65457,0.140423,0.809296,0.233484,20.1928,0.2556,0.4517,0,8.785,358.635,-0.047,10.88,10.87,378,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,0,0.330463513,0
rf0506,0.02,0.663799,0.04,0.01,0.13,0.08,13.39,0.15,13.26,20.23,0.06,0.25689697,0.04,0.08,0.1,0.2,358.78363,0.11,0.16,14.19,4.71,16.75,14.7,16.01,0.989994,2.29789,0.03,13.18,15.62,0.61,0.36,11.35,0.21,0.03,3.72661,4.63929,2.41872,2.09252,9.75,-99,6979,-99,0.06,-19.09,3.21057,15.34,0.37,0.05,0.12,6979,0.11,0.09,0.03,13.6,18.26,1,1.23767E+18,0.3203,15.681,4.34759E+17,0.7386,0.45545,0.5884,0.29865,1,0,2.6802,16.686,5.87731E+17,0.619677,1.08872E+17,0.5737,4.34759E+17,0.7835,1.23767E+18,0,9.83,0,0.11062032,9.05311203,8.88036,0.19794807,9.65,-99,-99,notineco,-99,0,L,188722000,0.503734,0,0,155.697,0.00705307,9.59647,0.0061,1.89885,0,0,0,AO,94107200,0,145.319,0.24053,1,0,-19.0925,0,0,11.4269,1,11.2379,1,0,1,9.8045,379,9.7635,0,0,0,0.0325859,0.0540705,9.75,1,0,1,0,10010,1,0,2.0817,2.1123,3.35848,2.96062,-19.2781,4.2374,0.554012,1.83079,0.835516,20.9706,0.314,0.7055,0,9.805,358.784,0.2568,11.23,11.28,379,12.55,1,12.49,11.29,20235,1.24,12.55,0,1.34,1,10221,11.45,12.49,0,0,0.579007724,0
rf0507,0.02,0.323824,0.04,0.01,0.22,0.08,14.53,0.15,14.2,19.01,0.06,0.024346552,0.05,0.5,0.19,0.21,358.9037,0.11,0.29,15.42,6.14,17.05,15.8,16.63,0.50775,1.64736,-0.11,-99,16.41,0.62,0.37,12.85,-99,0.03,2.6685,3.46843,1.52889,1.34496,8.95,-99,6844.9,-99,0.04,-18.43,2.44728,16.24,0.38,0.05,0.05,6844.9,0.02,0.24,0.02,14.77,18.13,1,1.23766E+18,0.0832758,12.7452,4.34607E+17,0.5876,0.26216,0.44669,0.20991,1,0,6.3535,14.3309,5.88016E+17,0.597309,1.08872E+17,0.5652,4.34607E+17,0.179,1.23766E+18,0,9.13,63.2955,0.26486058,7.90061045,9.22887,0.31354789,8.79,-99,-99,notineco,-99,8,L,1209870000,0.154483,0,0,152.927,0.0146847,8.99267,0.0146,3.88915,0,0,0,AO,113678000,0,167.137,-0.123997,1,0,-18.43,0,0,11.0909,1,11.0959,1,0,1,9.4085,381,8.9525,0,0,0,0.659643,0.659346,8.95,1,?,0,1,0,0,1000000,1.3703,1.23981,2.27208,2.10422,-18.6733,3.006,0.21545,1.11723,0.338039,19.2053,0.3235,0.0311,0,9.405,358.904,0.0242,11.09,11,381,11.52,1,11.63,11.39,20237,1.85,11.52,0,1.87,1,10223,11.49,11.63,0,0,0.330463513,0
rf0508,0.02,0.7026,0.03,0.01,0.19,0.08,10.93,0.14,11.34,18.88,0.05,0.55814557,0.02,0.47,0.13,0.19,358.96667,0.1,0.04,11.72,12.39,14.52,12.61,13.74,1.02783,2.2497,-0.03,11.51,13.31,0.78,0.34,56.89,0.11,0.03,3.6669,4.44995,2.44503,2.1198,10.71,-99,6979.02,-99,0.07,-21.36,3.03275,13.08,0.35,0.04,0.06,6989.8,0.24,0.29,0.05,11.43,16.07,1,1.23766E+18,0.450815,23.3148,4.34773E+17,0.7501,0.18027,0.18813,0.1159,1,0,2.989,29.2818,5.88016E+17,0.789289,1.08872E+17,0.8958,4.34773E+17,0.653,1.23766E+18,278.292,10.77,0,0.19425706,9.66676712,8.93102,0.19425706,10.67,-99,-99,notineco,-99,-1.5,E,609392000,0,0,0,0,0.0203817,0,0.026,0,0,1,0,AO,0,0,0,0,4,0.138,-22.0831,12.7,119.77,12.5859,1,12.4809,1,0.15,5,11.0365,382,10.9975,12.61,112.83,12.52,0.00323845,0.0124278,10.71,1,0,1,0,11000,0,0,2.21712,2.39914,3.61314,2.99547,-21.4349,4.39149,0.684418,2.08044,1.00312,21.666,0.2982,0.2641,0,10.725,359.045,0.534764,12.48,12.51,382,12.31,1,12.27,12.59,20238,0,12.31,0,0,1,10224,12.58,12.27,0,0,0.116087746,0
rf0509,0.02,0.646212,0.03,0.01,0.03,0.06,10.21,0.11,10.28,16.63,0.04,-0.98852202,0.03,0.06,0.03,0.14,359.01637,0.08,0.07,11.05,16,13.7,11.73,13.01,0.971003,2.31439,-0.1,10.57,12.57,0.92,0.26,34.35,0.1,0.03,3.67432,4.59923,2.33094,2.00615,10.93,-99,6817.6,-99,0.02,-22.01,3.23929,12.37,0.26,0.03,0.11,6817.6,0.01,0.05,0.02,10.53,15.14,1,1.23766E+18,0.818643,98.1068,4.7457E+18,0.5064,0.76429,0.9538,0.29545,1,0,83.6681,83.6681,5.87731E+17,0.876784,-999,0.5854,4.7457E+18,0.4508,1.23766E+18,0,10.99,0,3.4618327,9.07915592,9.72399,7.473965,10.81,-99,-99,notineco,-99,3,L,3783260000,0.113955,0,0,0,0.0227879,11.9227,0.0206,6.45807,0,0,0,S05-AO,559653000,0,296.364,-0.119805,1,0,-22.0106,0,0,12.5169,1,12.4359,1,0,1,10.9515,383,10.9345,0,0,0,0.0411011,0.0408827,10.93,0,0,1,X,1000,0,20000,2.02017,1.88147,3.14205,2.8995,-22.2592,4.02139,0.495197,1.61708,0.759583,17.2179,0.2278,0.0208,0,10.945,359.016,-0.9885,12.44,12.26,383,12.3,1,12.36,12.44,20239,0,12.19,0,0,1,10225,12.51,12.26,0,0,1.319117923,0
rf0510,0.02,0.683609,0.03,0.01,0.04,0.08,10.94,0.14,11.05,17.76,0.06,0.54976372,0.02,0.07,0.04,0.19,359.03235,0.1,0.12,12.03,19.94,14.61,12.55,13.88,1.02726,2.40158,-0.21,11.12,13.43,0.32,0.35,61.44,0.1,0.02,3.79093,4.74682,2.41662,2.07297,10.63,-99,6979.02,-99,0.02,-21.17,3.35746,13.16,0.36,0.05,0.03,6820.6,0.02,0.08,0.02,11.25,16.04,1,1.23766E+18,0.199978,27.27,4.3477E+17,0.7095,0.11309,0.1147,0.086407,1,0,3.4432,21.209,5.88016E+17,0.286005,1.08872E+17,0.8031,4.3477E+17,0.4716,1.23766E+18,0,10.69,176.847,2.1875405,8.90621567,9.80612,3.5858879,10.57,-99,-99,notineco,-99,8.5,L,7304300000,0,0,671878000,0,0.0326572,6.23568,0.0381,10.4485,1,0,4570800000,S05-AO,1097890000,164566000,341.286,0,4,0.138,-22.0831,12.7,119.77,12.5859,0,12.4809,1,0.15,5,11.0365,382,10.9975,12.61,112.83,12.52,0.0388398,0.0388058,10.63,1,0,0,?,0,0,1000000,2.04655,1.80135,3.08537,2.94778,-21.462,3.9866,0.48938,1.5282,0.762535,18.3015,0.3056,0.0598,0,10.695,359.045,0.534764,12.48,12.51,382,12.31,1,12.27,12.59,20238,0,12.31,0,0,1,10224,12.58,12.27,0,1,0.091070699,4
rf0511,0.02,0.393227,0.03,0.01,0.5,0.08,15.67,0.14,-99,20.21,0.06,0.48227082,0.06,0.33,0.38,0.2,359.03651,0.1,-99,-99,4.5,18.09,16.6,17.62,0.604071,1.7623,0,-99,17.37,0.55,0.35,10.31,-99,0.03,2.80302,3.59532,1.64479,1.43394,8.71,-99,6979.02,-99,0.03,-17.49,2.5546,17.11,0.36,0.05,0.05,7027.3,0.17,-99,0.03,16.02,19.12,1,1.23766E+18,0.321705,10.6507,4.34769E+17,0.4115,0.11818,0.18123,0.064173,1,0,9.0376,12.0614,5.88016E+17,0.549587,1.08872E+17,0.5287,4.34769E+17,0.2876,1.23766E+18,0,8.87,0,0.10552999,7.99878168,8.86499,0.10552999,8.53,-99,-99,notineco,-99,11,L,523431000,0.0769895,0,0,170.361,0.00485708,7.86692,0.0125,5.56207,0,0,0,AO,27919400,0,145.662,-0.0249837,4,0.138,-22.0831,12.7,119.77,12.5859,0,12.4809,1,0.15,5,11.0365,382,10.9975,12.61,112.83,12.52,0.254118,0.252843,8.71,1,?,0,1,0,0,1000000,1.49827,1.3346,2.40011,2.23541,-17.7295,3.13725,0.279312,1.18116,0.432756,20.5353,0.3071,0.1311,0,9.095,359.045,0.534764,12.48,12.51,382,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,0,0.06236586,0
rf0512,0.02,0.721334,0.03,0.01,0.17,0.07,13.32,0.14,13.34,21.46,0.05,-0.029171117,0.03,0.19,-99,0.19,359.04701,0.1,0.08,14.11,2.66,16.78,-99,16,1.05722,2.36149,-0.04,13.6,15.62,0.68,0.33,8.71,0.19,0.02,3.851,4.75684,2.54674,2.21085,9.69,-99,6909.3,-99,0.02,-19.07,3.26732,15.35,0.34,0.04,0.13,6909.3,0.25,0.12,0.02,13.43,18.33,1,1.23766E+18,0.873517,4.8369,4.34606E+17,0.6419,0.47485,0.67065,0.26463,1,0,4.959,4.959,5.87731E+17,0.700284,1.08872E+17,0.7772,4.34606E+17,0.605,1.23766E+18,104.772,9.79,0,0.022633962,9.75019741,8.40358,0.022633962,9.67,-99,-99,notineco,-99,-1,E,180907000,0,0,0,0,0.0251528,0,0.0131,0,0,1,0,AO,0,0,0,0,1,0,-19.0675,0,0,11.4269,1,11.2329,1,0,1,9.7645,384,9.7495,0,0,0,0.00582695,0.0949724,9.75,1,0,1,0,10100,0,0,2.30343,2.46939,3.75788,3.19966,-19.1468,4.65412,0.691027,2.14548,1.01493,23.0071,0.2907,1.9109,0,9.705,359.047,-0.0293,11.23,11.39,384,11.52,1,11.63,11.39,20237,1.85,11.52,0,1.87,1,10223,11.49,11.63,0,0,1.316313607,0
rf0513,0.02,0.441313,0.03,0.01,0.04,0.07,12.11,0.12,11.88,17.39,0.05,-0.54045614,0.02,0.37,0.48,0.16,359.05644,0.09,0.07,12.9,10.82,15.08,13.36,14.56,0.696428,2.00984,-0.03,12.07,14.29,0.51,0.29,21.56,0.11,0.02,3.15794,4.0764,1.84453,1.58942,9.87,-99,6804.3,-99,0.02,-20.46,2.9283,14.07,0.3,0.04,0.05,6804.3,0.02,0.38,0.02,12.34,16.27,1,1.23766E+18,0.26432,24.6992,4.35807E+17,0.461,0.52457,0.7628,0.51334,1,0,10.0362,29.8148,5.87731E+17,0.514444,1.09153E+17,0.5353,4.35807E+17,0.3701,1.23766E+18,0,10.09,145.992,2.3280219,8.28256607,9.8488,3.001323,9.75,-99,-99,notineco,-99,6,L,5042820000,0.0516032,0,0,277.679,0.0987656,10.7821,0.0011,5.14038,0,0,0,GBT,421069000,0,271.295,-0.0869921,1,0,-20.4631,0,0,11.4969,1,11.6379,1,0,1,10.1635,385,9.8825,0,0,0,0.723078,0.70268,9.87,1,1,0,1,0,0,1000000,1.43912,1.23371,2.32806,2.22258,-20.9951,3.11152,0.214815,1.10375,0.344767,17.8412,0.2554,0.0283,0,10.155,359.056,-0.5407,11.64,11.86,385,12.13,1,12.19,11.55,20240,1.66,12.13,0,1.57,1,10226,11.51,12.19,0,0,1.319117923,0
rf0514,0.02,0.709871,0.03,0.01,0.14,0.07,11.73,0.13,12.15,19.93,0.05,-0.083353019,0.03,0.2,0.11,0.17,0.018611309,0.09,0.36,12.65,6.7,15.16,13.15,14.4,1.03847,2.27481,-0.03,12.14,14.01,0.87,0.31,28.45,0.03,0.02,3.70766,4.50999,2.47131,2.14272,10.49,-99,7208.45,-99,0.02,-20.75,3.07714,13.78,0.32,0.04,0.04,7175.9,0.27,0.07,0.02,11.98,16.78,0,1.23766E+18,-999,-999,1.2284E+18,-999,1.6857,1.739,0.081143,1,0,-999,-999,5.87731E+17,0.882306,3.07316E+17,-999,1.2284E+18,-999,1.23766E+18,0,10.51,0,0.097620928,9.90316105,9.41391,0.097620928,10.43,-99,-99,notineco,-99,-2.5,E,0,0,0,0,0,0.0177105,0,0.0152,0,0,0,0,None,0,0,0,0,2,0,-21.2764,0,0,12.0619,1,12.0019,1,0,2,9.6975,2,8.7745,0,0,0,0.00374985,0.0242446,10.49,0,0,0,0,0,0,0,2.23595,2.42261,3.64874,3.03154,-20.809,4.44432,0.689356,2.10214,1.00982,22.1961,0.2717,0.9424,0,10.525,0.025582,-0.061903,0,0,2,11.31,1,11.31,12.09,20001,0,11.31,0,0,1,10001,12.07,11.31,0,-10998,0.081164441,-10998
rf0515,0.02,0.41931,0.03,0.01,0.09,0.07,12.56,0.13,12.49,17.36,0.05,-0.040437764,0.02,0.18,0.14,0.17,0.032668989,0.09,0.21,13.48,4.88,15.42,13.83,14.93,0.646151,1.84511,-0.09,12.38,14.68,0.92,0.3,17.47,0.3,0.02,2.86543,3.68947,1.66646,1.43962,9.83,-99,7208.45,-99,0.03,-20.24,2.66916,14.48,0.31,0.04,0.03,7241,0.02,0.05,0.02,12.89,16.51,0,1.23766E+18,-999,-999,4.35776E+17,-999,1.6587,1.7793,0.08188,1,0,-999,-999,5.87731E+17,0.903129,1.09153E+17,-999,4.35776E+17,-999,1.23766E+18,0,9.97,0,1.8581097,9.39006805,9.94191,2.1553402,9.65,-99,-99,notineco,-99,2,L,6248660000,0.0895139,0,0,0,0.0267709,2.8659,0.0176,15.8115,0,0,0,ALFALFA,156120000,0,79.5195,0.172684,2,0,-21.2764,0,0,12.0619,0,12.0019,1,0,2,9.6975,2,8.7745,0,0,0,0.257853,0.257852,9.83,0,?,0,0,0,0,0,1.46933,1.21702,2.28532,2.21559,-20.5569,3.03158,0.255625,1.07162,0.401033,17.6907,0.2676,0.0744,0,10.185,0.025582,-0.061903,0,0,2,11.31,1,11.31,12.09,20001,0,11.31,0,0,1,10001,12.07,11.31,0,-10998,0.081164441,-10998
rf0516,0.02,0.324818,0.03,0.01,0.72,0.06,15.38,0.12,-99,20.45,0.05,-0.58872769,0.25,0.4,0.41,0.16,0.70898797,0.08,-99,-99,3.19,18.56,17.47,18.14,0.519203,1.71524,0.06,-99,17.94,0.95,0.28,6.53,-99,0.03,2.73568,3.58352,1.53964,1.34526,8.25,-99,6564.8,-99,0.05,-16.8,2.56308,17.78,0.29,0.04,0.11,6564.8,0.1,-99,0.03,16.43,19.57,0,1.23766E+18,-999,-999,1.22837E+18,-999,1.997,2.4586,1.4261,1,0,-999,-999,5.87731E+17,0.846172,3.07316E+17,-999,1.22837E+18,-999,1.23766E+18,0,8.47,0,0.073463424,7.78545475,8.36972,0.08198972,8.15,-99,-99,notineco,-99,-999,L,0,0,0,0,0,0.103656,0,0.0834,0,0,0,0,None,0,0,0,0,1,0,-16.8027,0,0,10.8611,1,10.8042,1,0,1,9.6975,397,8.7745,0,0,0,1.13091,1.1229,8.25,0,0,0,0,0,0,0,1.3336,1.15224,2.19615,2.08709,-17.145,2.94963,0.179966,1.04251,0.289694,20.6282,0.2497,0.189,0,8.615,0.7088,-0.5887,0,0,406,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,2.206078694,-10998
rf0517,0.02,0.363232,0.03,0.01,-99,0.08,-99,0.14,-99,20.56,0.06,-0.36771688,0.05,-99,0.54,0.2,1.9090388,0.1,-99,-99,1.92,18.53,17.05,18.09,0.578468,1.81511,0.14,-99,17.84,0.79,0.35,5.04,-99,0.02,2.85553,3.7244,1.61889,1.40365,8.35,-99,6494.7,-99,0.02,-16.86,2.68398,17.67,0.36,0.05,0.04,6494.7,0.09,-99,0.02,-99,19.64,0,1.23766E+18,-999,-999,1.22727E+18,-999,1.9757,2.0567,1.3881,1,0,-999,-999,5.88016E+17,0.79198,3.07035E+17,-999,1.22727E+18,-999,1.23766E+18,0,8.55,0,0.079042473,8.56908607,8.41547,0.079042473,8.23,-99,-99,notineco,-99,-999,E,0,0,0,0,0,0.00754861,0,0.0045,0,0,0,0,None,0,0,0,0,1,0,-16.8559,0,0,10.8877,1,10.8142,1,0,1,9.6975,398,8.7745,0,0,0,0.796653,0.793938,8.35,0,0,0,0,0,0,0,1.40242,1.18816,2.26376,2.17202,-17.2401,3.03335,0.202742,1.06408,0.326824,20.83,0.309,0.2955,0,8.685,1.909,-0.3678,0,0,407,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,2.206078694,-10998
rf0518,0.02,0.310165,0.03,0.01,0.47,0.06,15.91,0.12,-99,20.24,0.05,-1.1702019,0.14,0.61,0.47,0.16,2.2105393,0.08,-99,-99,2.58,18.34,17.18,17.93,0.492453,1.65238,0.11,-99,17.73,0.65,0.28,7.06,-99,0.03,2.67347,3.49569,1.51355,1.33126,8.35,-99,6713.2,-99,0.08,-17.06,2.47459,17.63,0.29,0.04,0.08,6713.2,0.08,-99,0.02,16.1,19.37,1,1.23766E+18,0.565363,3.75,1.22725E+18,0.8131,1.4348,2.6948,1.2553,1,0,2.5042,11.8083,5.88016E+17,0.680516,3.07035E+17,0.2676,1.22725E+18,0.839,1.23766E+18,0,8.55,0,0.081206347,8.32142639,8.45712,0.11756488,8.23,-99,-99,notineco,-99,-999,E,204638000,0.27371,0,0,58.702,0.0323771,11.1252,0.0292,5.10365,0,0,0,AO,22360400,0,49.6841,0.023431,1,0,-17.0639,0,0,10.8849,1,10.8649,1,0,1,8.7085,4,8.3565,0,0,0,1.02428,1.01985,8.35,0,?,0,1,0,1,1000,1.33448,1.1909,2.22451,2.07852,-17.3383,2.96855,0.189142,1.07917,0.300865,20.7755,0.2491,0.2287,0,8.705,2.2104,-1.1703,10.85,11.01,4,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,0,3.454029497,0
rf0519,0.02,0.271749,0.02,0.01,0.84,0.06,-99,0.1,-99,20.62,0.04,0.016018409,0.91,-99,2.71,0.14,3.4826129,0.07,-99,-99,5.51,18.72,16.98,18.33,0.434121,1.56883,0.01,-99,18.16,0.67,0.25,12.06,-99,0.05,2.60467,3.42733,1.46996,1.30759,7.97,-99,5606.4,-99,0.05,-16.26,2.39149,17.59,0.25,0.03,0.12,5606.4,0.22,-99,0.06,16.88,19.61,0,1.23766E+18,-999,-999,1.67876E+18,-999,1.4556,1.4641,0.87851,1,0,-999,-999,5.88016E+17,0.627958,4.19907E+17,-999,1.67876E+18,-999,1.23766E+18,0,8.15,0,0.034183907,7.23371887,8.29758,0.043988746,7.85,-99,-99,notineco,-99,-999,L,348808000,0,0,0,0,0.0213541,0,0.033,0,0,1,0,ALFALFA,0,0,0,0,1,0,-16.2585,0,0,10.7981,1,10.6931,1,0,1,9.6975,399,8.7745,0,0,0,1.83559,1.80484,7.95,0,0,0,0,0,0,0,1.2921,1.19575,2.21817,2.04469,-16.5108,2.97076,0.168884,1.09496,0.26968,20.8905,0.2176,0.2858,0,8.465,3.4824,0.0157,0,0,408,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,1.072460667,-10998
rf0520,0.02,0.393799,0.02,0.01,0.5,0.06,15.71,0.1,-99,20.5,0.04,0.47808647,0.21,0.59,0.5,0.14,4.5358991,0.08,-99,-99,2.96,18.42,17.41,17.94,0.606918,1.77916,0.14,-99,17.68,0.64,0.25,7.73,-99,0.03,2.87716,3.68913,1.70491,1.49179,8.35,-99,5498.7,-99,0.2,-16.67,2.59113,17.57,0.26,0.03,0.07,5666.2,0.07,-99,0.04,16.36,19.6,0,1.23766E+18,-999,-999,1.22509E+18,-999,0.21631,0.2264,0.17417,1,0,-999,-999,5.88016E+17,0.652948,3.06472E+17,-999,1.22509E+18,-999,1.23766E+18,0,8.53,0,0.042555645,8.30910587,8.43389,0.079426042,8.19,-99,-99,notineco,-99,-999,E,447012000,0.744012,0,0,0,0.0299942,10.645,0.0222,3.26681,0,0,0,ALFALFA,137747000,0,38.1016,-0.335571,2,0,-20.1329,0,0,11.3059,0,11.5089,1,0,3,9.9155,10,9.4945,0,0,0,0.350359,0.346834,8.35,0,?,0,0,0,0,0,1.48993,1.38703,2.45172,2.23684,-16.9272,3.19863,0.275566,1.23736,0.425238,20.5726,0.2218,0.1,0,8.695,4.47837,0.332278,11.51,11.76,10,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,0.209707861,-10998
rf0521,0.02,0.553407,0.02,0.01,1.14,0.06,16.53,0.1,-99,-99,0.04,0.91559609,0.36,0.89,-99,0.14,4.8128862,0.07,-99,-99,5.35,18.97,-99,18.36,0.795674,1.95602,0.02,-99,18.05,0.87,0.25,11.9,-99,0.05,3.25776,4.01291,2.09741,1.85515,8.11,-99,5528.1,-99,0.16,-16.2,2.71117,17.95,0.25,0.03,1.61,5528.1,-99,-99,0.03,17.33,19.71,0,1.23766E+18,-999,-999,1.73624E+18,-999,0.35872,0.36108,0.21427,1,0,-999,-999,5.88016E+17,0.781709,4.34265E+17,-999,1.73624E+18,-999,1.23766E+18,0,8.35,0,0.00419244,7.42907715,7.83517,0.027458347,8.09,-99,-99,notineco,-99,-999,L,369702000,0,0,0,0,0.013581,0,0.0232,0,0,1,0,ALFALFA,0,0,0,0,1,0,-16.2001,0,0,10.8416,1,10.6799,1,0,1,9.6975,401,8.7745,0,0,0,0.0151294,0.537321,8.17,0,0,0,0,0,0,0,1.8848,2.01352,3.15077,2.62585,-16.2671,3.89183,0.520179,1.78615,0.747542,0,0.2187,0,0,8.295,4.8127,0.9154,0,0,410,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,0.400256451,-10998
